Player_Name,Team,Position,Games_Played,Minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,three_points,three_points_attempted,Three_points_percentage,Free_throw,Free_throw_attempt,Free_throw_percentage,Offensive_rebounds,Defensive_rebounds,Total_rebounds,Assists,Steals,Turnovers,Blocks,Personal_fouls,PTS,Playmaking,Shooting,Offense,All_Around,Defense
Carl Landry,GSW,PF,80,23.2,4,7.4,54,0,0,33.3,2.8,3.4,81.8,2.2,3.8,6,0.8,0.4,1.4,0.4,2.3,10.8,-3.735632184,0.607014388,1.028571429,14.2,4.6
Carlos Boozer,CHI,PF,78,32.2,6.9,14.4,47.9,0,0,0,2.5,3.4,73.1,2.2,7.5,9.8,2.2,0.8,2.2,0.4,3,16.3,-2.277432712,0.512665376,0.890367776,20.67948718,8.7
Carlos Delfino,HOU,SG,67,25.2,3.7,9.3,40.5,2.4,6.3,37.5,0.7,0.8,85.7,0.3,3,3.3,2,1,1.1,0.1,1.7,10.6,0.925925926,0.548889851,0.980662983,10.40298507,4.1
Carmelo Anthony,NYK,SF,66,37,9.9,22.1,44.6,2.3,6.2,37.8,6.4,7.7,82.9,2,4.8,6.8,2.6,0.8,2.6,0.5,3.1,28.5,-2.342342342,0.558982954,0.997877984,25.71212121,6.1
Caron Butler,LAC,SF,78,24.1,3.9,9.2,42.4,1.6,4.2,38.8,1,1.2,83.3,0.5,2.3,2.9,1,0.7,0.9,0.1,1.8,10.4,-0.968188105,0.534002318,0.971257485,9.115384615,3.1
Cartier Martin,WAS,PF,41,16.9,2.3,6.1,38.1,1.4,3.6,39.7,0.5,0.7,71.4,0.3,2.2,2.4,0.5,0.5,0.8,0.1,1.4,6.6,-2.761341223,0.515679708,0.91092437,5.707317073,2.8
Chandler Parsons,HOU,SF,76,36.3,6,12.4,48.6,2,5.2,38.5,1.5,2,72.9,1,4.3,5.3,3.5,1,1.9,0.4,1.9,15.5,1.193755739,0.583815716,1.013769363,17.90789474,5.7
Charles Jenkins,PHI,PG,12,12.5,1.2,3.2,36.8,0,0,0,0.2,0.3,50,0.3,0.7,0.9,1.3,0.5,0.2,0.1,0.3,2.5,5.333333333,0.377263581,0.714285714,3.25,1.3
Charlie Villanueva,DET,PF,70,15.8,2.5,6.7,37.7,1.3,3.7,34.7,0.4,0.7,55.1,0.7,2.8,3.5,0.8,0.4,0.6,0.6,1.4,6.7,-0.421940928,0.478025114,0.875816993,7.5,3.8
Chase Budinger,MIN,SF,23,22,3.4,8.4,40.9,1.2,3.5,33.3,1.4,1.9,76.7,0.6,2.5,3.1,1.1,0.6,1,0.3,1.2,9.5,-1.212121212,0.515633829,0.920168067,9.130434783,3.4
Chauncey Billups,LAC,PG,22,19,2.4,6,40.2,1.5,4.1,36.7,2,2.2,93.8,0.1,1.4,1.5,2.2,0.5,1.2,0,1.1,8.4,1.403508772,0.604101358,1.016483516,8,1.9
Chris Andersen,MIA,PF,42,15,1.7,3,56,0,0.1,66.7,1.5,2.3,67.4,1.4,2.9,4.3,0.4,0.4,0.6,1.1,2.1,4.9,-2.222222222,0.610623666,1.032581454,10.02380952,4.4
Chris Bosh,MIA,C,73,33.2,6.6,12.2,53.6,0.3,1,28.2,3.2,4.1,79.7,1.8,5,6.7,1.6,0.9,1.7,1.4,2.3,16.6,-1.907630522,0.592630261,1.040790039,20.80821918,7.3
Chris Copeland,NYK,SF,55,15.3,3.3,6.8,47.9,1,2.5,41.9,1.1,1.5,75.9,0.6,1.5,2.2,0.5,0.3,0.9,0.2,1.8,8.7,-3.703703704,0.583406411,1.029001074,7.909090909,2
Chris Douglas.Roberts,DAL,SG,6,10.7,0.8,2.3,35.7,0,0.7,0,1.2,1.7,70,0,0.8,0.8,0.7,0.3,0.2,0,0.7,2.8,2.492211838,0.461956522,0.85,3.5,1.1
Chris Duhon,LAL,PG,46,17.8,1,2.7,38.2,0.7,2,36.3,0.1,0.3,46.2,0.2,1.2,1.5,2.9,0.4,0.9,0,1.2,2.9,5.805243446,0.51090965,0.773255814,5.282608696,1.6
Chris Johnson,MEM,SF,8,12.6,1.4,3.1,44,0.8,2.3,33.3,0.1,0.3,50,0.6,0.8,1.4,0.3,0.5,0.4,0,0.6,3.6,-1.587301587,0.560278207,1,3.875,1.3
Chris Kaman,DAL,C,65,20.7,4.8,9.4,50.8,0,0,0,1,1.3,78.8,1.5,4.1,5.6,0.8,0.5,1.6,0.8,2.1,10.6,-5.152979066,0.531307835,0.909570957,12.41538462,5.4
Chris Paul,LAC,PG,70,33.4,5.9,12.2,48.1,1.1,3.3,32.8,4.1,4.6,88.5,0.8,3,3.7,9.7,2.4,2.3,0.1,2,16.9,12.4750499,0.594066367,1.005952381,24.7,5.5
Chris Quinn,CLE,PG,7,11.3,0.6,2.3,25,0,0.7,0,0.3,0.3,100,0.1,0.1,0.3,1.3,0.4,0.9,0,0.6,1.4,-0.294985251,0.296208531,0.434782609,0.857142857,0.5
Chris Singleton,WAS,SF,58,16,1.6,4.2,38.4,0.1,0.6,19.4,0.7,1.2,57.1,0.9,2.3,3.2,0.7,0.7,0.8,0.4,2.1,4,-2.083333333,0.422125182,0.713846154,6.120689655,3.4
Chris Wilcox,BOS,PF,60,13.5,1.8,2.5,72.7,0,0,0,0.7,1,67.2,0.9,2,2.9,0.3,0.5,0.6,0.4,2,4.3,-2.962962963,0.731292517,1.194444444,7.4,2.9
